Pavarde                  Vardas              Galutinis (Vid.)    Galutinis (Med.)    
-------------------------------------------------------------------------------------
PavardeNR76408           VardasNR76408       5.00                4.60                
PavardeNR55413           VardasNR55413       5.00                4.60                
PavardeNR43291           VardasNR43291       5.00                4.60                
PavardeNR16845           VardasNR16845       5.00                4.60                
PavardeNR47264           VardasNR47264       5.00                5.00                
PavardeNR5972            VardasNR5972        5.00                5.00                
PavardeNR48187           VardasNR48187       5.00                5.80                
PavardeNR89069           VardasNR89069       5.00                4.20                
PavardeNR26816           VardasNR26816       5.00                5.00                
PavardeNR1939            VardasNR1939        5.00                4.60                
PavardeNR72537           VardasNR72537       5.00                5.40                
PavardeNR37894           VardasNR37894       5.00                5.00                
PavardeNR16991           VardasNR16991       5.00                5.00                
PavardeNR97437           VardasNR97437       5.00                5.40                
PavardeNR7911            VardasNR7911        5.00                5.40                
PavardeNR13481           VardasNR13481       5.00                5.00                
PavardeNR97374           VardasNR97374       5.00                4.20                
PavardeNR3536            VardasNR3536        5.00                4.60                
PavardeNR40707           VardasNR40707       5.00                4.60                
PavardeNR30039           VardasNR30039       5.00                4.20                
PavardeNR90136           VardasNR90136       5.00                4.60                
PavardeNR93391           VardasNR93391       5.00                5.40                
PavardeNR28491           VardasNR28491       5.00                5.40                
PavardeNR74138           VardasNR74138       5.00                4.20                
PavardeNR3578            VardasNR3578        5.00                5.00                
PavardeNR23206           VardasNR23206       5.00                5.00                
PavardeNR25146           VardasNR25146       5.00                5.80                
PavardeNR72248           VardasNR72248       5.00                4.60                
PavardeNR60690           VardasNR60690       5.00                4.20                
PavardeNR57187           VardasNR57187       5.00                5.00                
PavardeNR9762            VardasNR9762        5.00                5.40                
PavardeNR64122           VardasNR64122       5.00                4.60                
PavardeNR65583           VardasNR65583       5.00                5.00                
PavardeNR2810            VardasNR2810        5.00                5.40                
PavardeNR34782           VardasNR34782       5.00                5.00                
PavardeNR85870           VardasNR85870       5.00                5.00                
PavardeNR7458            VardasNR7458        5.00                5.00                
PavardeNR65033           VardasNR65033       5.00                5.00                
PavardeNR99448           VardasNR99448       5.00                5.40                
PavardeNR38647           VardasNR38647       5.00                5.00                
PavardeNR43244           VardasNR43244       5.00                4.60                
PavardeNR91554           VardasNR91554       5.00                5.80                
PavardeNR61520           VardasNR61520       5.00                5.00                
PavardeNR55385           VardasNR55385       5.00                4.60                
PavardeNR86403           VardasNR86403       5.00                4.60                
PavardeNR24957           VardasNR24957       5.00                5.40                
PavardeNR32743           VardasNR32743       5.00                5.00                
PavardeNR88396           VardasNR88396       5.00                5.00                
PavardeNR16838           VardasNR16838       5.00                5.40                
PavardeNR60937           VardasNR60937       5.00                5.00                
PavardeNR6809            VardasNR6809        5.00                4.60                
PavardeNR11977           VardasNR11977       5.00                4.60                
PavardeNR5318            VardasNR5318        5.00                5.40                
PavardeNR40336           VardasNR40336       5.00                4.60                
PavardeNR85112           VardasNR85112       5.00                5.00                
PavardeNR59689           VardasNR59689       5.00                5.00                
PavardeNR4662            VardasNR4662        5.00                5.00                
PavardeNR86289           VardasNR86289       5.00                5.00                
PavardeNR41850           VardasNR41850       5.00                5.00                
PavardeNR80521           VardasNR80521       5.00                5.00                
PavardeNR34200           VardasNR34200       5.00                5.00                
PavardeNR25222           VardasNR25222       5.00                4.60                
PavardeNR35116           VardasNR35116       5.00                5.40                
PavardeNR99136           VardasNR99136       5.00                5.00                
PavardeNR52207           VardasNR52207       5.00                5.00                
PavardeNR53690           VardasNR53690       5.00                4.60                
PavardeNR9710            VardasNR9710        5.00                5.40                
PavardeNR47707           VardasNR47707       5.00                4.60                
PavardeNR55200           VardasNR55200       5.00                4.60                
PavardeNR93951           VardasNR93951       5.00                5.00                
PavardeNR74228           VardasNR74228       5.00                4.60                
PavardeNR24043           VardasNR24043       5.00                4.60                
PavardeNR81137           VardasNR81137       5.00                4.60                
PavardeNR11361           VardasNR11361       5.00                5.40                
PavardeNR84502           VardasNR84502       5.00                4.60                
PavardeNR32819           VardasNR32819       5.00                5.80                
PavardeNR52482           VardasNR52482       5.00                5.00                
PavardeNR94422           VardasNR94422       5.00                5.40                
PavardeNR40193           VardasNR40193       5.00                5.00                
PavardeNR61692           VardasNR61692       5.00                5.00                
PavardeNR88516           VardasNR88516       5.00                4.60                
PavardeNR88046           VardasNR88046       5.00                5.00                
PavardeNR90975           VardasNR90975       5.00                5.00                
PavardeNR53799           VardasNR53799       5.00                4.60                
PavardeNR32004           VardasNR32004       5.00                5.40                
PavardeNR74065           VardasNR74065       5.00                5.00                
PavardeNR35131           VardasNR35131       5.00                5.00                
PavardeNR20706           VardasNR20706       5.00                5.00                
PavardeNR57049           VardasNR57049       5.00                4.60                
PavardeNR60887           VardasNR60887       5.00                4.60                
