Pavarde                  Vardas              Galutinis (Vid.)    Galutinis (Med.)    
-------------------------------------------------------------------------------------
PavardeNR90966           VardasNR90966       1.29                1.00                
PavardeNR62492           VardasNR62492       1.34                1.40                
PavardeNR69829           VardasNR69829       1.34                1.00                
PavardeNR92968           VardasNR92968       1.40                1.00                
PavardeNR44155           VardasNR44155       1.46                1.40                
PavardeNR30768           VardasNR30768       1.46                1.40                
PavardeNR22490           VardasNR22490       1.46                1.40                
PavardeNR36203           VardasNR36203       1.46                1.00                
PavardeNR82460           VardasNR82460       1.51                1.40                
PavardeNR20282           VardasNR20282       1.51                1.40                
PavardeNR10661           VardasNR10661       1.51                1.40                
PavardeNR92030           VardasNR92030       1.51                1.40                
PavardeNR34032           VardasNR34032       1.51                1.00                
PavardeNR89010           VardasNR89010       1.57                1.80                
PavardeNR84175           VardasNR84175       1.57                1.40                
PavardeNR48892           VardasNR48892       1.57                1.40                
PavardeNR95227           VardasNR95227       1.57                1.40                
PavardeNR33375           VardasNR33375       1.57                1.00                
PavardeNR3763            VardasNR3763        1.57                1.40                
PavardeNR80654           VardasNR80654       1.57                1.40                
PavardeNR1760            VardasNR1760        1.57                1.80                
PavardeNR6746            VardasNR6746        1.57                1.40                
PavardeNR93600           VardasNR93600       1.57                1.80                
PavardeNR99107           VardasNR99107       1.57                1.80                
PavardeNR67724           VardasNR67724       1.63                1.40                
PavardeNR7411            VardasNR7411        1.63                1.40                
PavardeNR7828            VardasNR7828        1.63                1.80                
PavardeNR34433           VardasNR34433       1.63                1.40                
PavardeNR79770           VardasNR79770       1.63                1.40                
PavardeNR96735           VardasNR96735       1.63                1.40                
PavardeNR49841           VardasNR49841       1.63                1.40                
PavardeNR85696           VardasNR85696       1.63                1.00                
PavardeNR75515           VardasNR75515       1.63                1.40                
PavardeNR68424           VardasNR68424       1.63                1.40                
PavardeNR17663           VardasNR17663       1.63                1.40                
PavardeNR94509           VardasNR94509       1.63                1.40                
PavardeNR86774           VardasNR86774       1.63                1.40                
PavardeNR71715           VardasNR71715       1.63                1.40                
PavardeNR55900           VardasNR55900       1.69                1.80                
PavardeNR8719            VardasNR8719        1.69                1.40                
PavardeNR10309           VardasNR10309       1.69                1.40                
PavardeNR41550           VardasNR41550       1.69                1.80                
PavardeNR21625           VardasNR21625       1.69                1.40                
PavardeNR38144           VardasNR38144       1.69                1.40                
PavardeNR65439           VardasNR65439       1.69                1.40                
PavardeNR12805           VardasNR12805       1.69                1.40                
PavardeNR93499           VardasNR93499       1.69                1.00                
PavardeNR93697           VardasNR93697       1.69                1.80                
PavardeNR32697           VardasNR32697       1.69                1.40                
PavardeNR45199           VardasNR45199       1.69                1.40                
PavardeNR32542           VardasNR32542       1.69                1.40                
PavardeNR28334           VardasNR28334       1.69                1.40                
PavardeNR93104           VardasNR93104       1.69                1.40                
PavardeNR23836           VardasNR23836       1.69                1.80                
PavardeNR78225           VardasNR78225       1.69                1.80                
PavardeNR93877           VardasNR93877       1.69                1.40                
PavardeNR26956           VardasNR26956       1.71                1.60                
PavardeNR1471            VardasNR1471        1.74                1.80                
PavardeNR80571           VardasNR80571       1.74                1.00                
PavardeNR44628           VardasNR44628       1.74                1.40                
PavardeNR17773           VardasNR17773       1.74                1.80                
PavardeNR76820           VardasNR76820       1.74                1.40                
PavardeNR60200           VardasNR60200       1.74                1.40                
PavardeNR25465           VardasNR25465       1.74                1.80                
PavardeNR89855           VardasNR89855       1.74                1.40                
PavardeNR93121           VardasNR93121       1.74                1.80                
PavardeNR96502           VardasNR96502       1.74                1.00                
PavardeNR41718           VardasNR41718       1.74                1.80                
PavardeNR64876           VardasNR64876       1.74                1.40                
PavardeNR92628           VardasNR92628       1.74                1.00                
PavardeNR48348           VardasNR48348       1.74                1.40                
PavardeNR51744           VardasNR51744       1.74                1.40                
PavardeNR27996           VardasNR27996       1.74                1.40                
PavardeNR53444           VardasNR53444       1.74                1.80                
PavardeNR34953           VardasNR34953       1.74                1.40                
PavardeNR9136            VardasNR9136        1.74                1.40                
PavardeNR40567           VardasNR40567       1.74                1.40                
PavardeNR28992           VardasNR28992       1.74                1.00                
PavardeNR91881           VardasNR91881       1.74                1.40                
PavardeNR98883           VardasNR98883       1.74                1.40                
PavardeNR19870           VardasNR19870       1.74                1.40                
PavardeNR99374           VardasNR99374       1.80                1.40                
PavardeNR12041           VardasNR12041       1.80                1.80                
PavardeNR67942           VardasNR67942       1.80                1.40                
PavardeNR77676           VardasNR77676       1.80                1.40                
PavardeNR76520           VardasNR76520       1.80                1.40                
PavardeNR1968            VardasNR1968        1.80                1.80                
PavardeNR25647           VardasNR25647       1.80                1.80                
PavardeNR96398           VardasNR96398       1.80                1.00                
PavardeNR83815           VardasNR83815       1.80                1.40                
PavardeNR76981           VardasNR76981       1.80                1.40                
PavardeNR20859           VardasNR20859       1.80                1.80                
PavardeNR43048           VardasNR43048       1.80                1.40                
PavardeNR23744           VardasNR23744       1.80                1.40                
PavardeNR20291           VardasNR20291       1.80                2.20                
PavardeNR81815           VardasNR81815       1.80                1.80                
PavardeNR87534           VardasNR87534       1.80                1.80                
PavardeNR32122           VardasNR32122       1.80                1.80                
PavardeNR41552           VardasNR41552       1.80                1.80                
PavardeNR30551           VardasNR30551       1.80                1.00                
PavardeNR30019           VardasNR30019       1.80                1.40                
PavardeNR46946           VardasNR46946       1.80                1.40                
PavardeNR6471            VardasNR6471        1.80                1.40                
PavardeNR55500           VardasNR55500       1.80                1.40                
PavardeNR75866           VardasNR75866       1.80                1.80                
PavardeNR44921           VardasNR44921       1.80                1.40                
